symbol	R603	R607	R614	R621
RP11-43F13.1	0	0	0	0
MRPL36	0	0	0	0
NDUFS6	0	0	0	0
ADAMTS16	0	1	1	1
ICE1	0	0	0	0
MED10	0	0	0	0
NSUN2	0	0	0	0
SRD5A1	0	0	0	0
CTD-2044J15.1	1	1	0	1
PAPD7	0	0	0	0
MTRR	0	0	0	0
FASTKD3	0	0	0	0
CTD-2199O4.6	1	1	0	1
FAM173B	1	0	0	0
CCT5	0	0	0	0
CMBL	0	0	0	0
MARCH6	0	0	0	0
ROPN1L	0	1	0	0
ANKRD33B	1	1	1	0
DAP	0	0	0	0
DNAH5	0	0	0	0
TRIO	0	0	0	0
FAM105A	1	0	0	0
EEF1A1P13	0	0	0	0
CTD-2165H16.4	0	1	0	0
OTULIN	0	0	0	0
ANKH	1	1	1	1
ZNF622	1	0	0	0
FAM134B	1	0	1	0
MYO10	0	1	0	1
CDH18	0	1	1	0
GUSBP1	1	0	0	0
CDH12	0	0	1	1
HSPD1P1	0	1	1	1
CDH10	0	0	0	0
RP11-184E9.1	1	1	0	1
MSNP1	1	0	0	0
LINC01021	1	0	1	1
DROSHA	0	0	0	0
C5orf22	0	0	0	0
PDZD2	1	1	0	1
CTD-2152M20.2	0	0	0	0
GOLPH3	0	0	0	0
CTD-2186M15.3	0	0	0	0
MTMR12	0	0	0	0
ZFR	0	0	0	0
SUB1	0	0	0	0
RP11-36C20.1	0	0	1	0
CTD-2203K17.1	0	1	1	0
TARS	0	0	0	0
AMACR	0	0	1	0
C1QTNF3	0	0	0	1
RP11-1023L17.1	0	0	0	0
RAI14	0	0	0	1
RAD1	0	0	0	0
BRIX1	0	0	0	0
DNAJC21	0	0	0	0
LMBRD2	0	0	1	0
SKP2	0	0	0	0
NADK2	0	0	0	0
SLC1A3	0	1	1	0
NIPBL	0	0	0	0
C5orf42	0	0	0	0
CTD-2124B8.2	1	0	0	0
NUP155	0	0	0	0
EGFLAM	1	1	1	1
LIFR	0	1	1	1
LIFR-AS1	0	1	1	1
OSMR	1	0	1	1
RICTOR	1	0	0	0
PTGER4	1	1	1	0
TTC33	0	1	0	0
PRKAA1	0	0	0	0
RPL37	0	0	0	0
SNORD72	0	1	1	1
CARD6	0	0	0	0
C7	1	1	1	1
PLCXD3	1	1	1	1
OXCT1	0	1	0	1
C5orf51	0	0	0	0
FBXO4	0	0	0	0
CTD-2201E18.5	0	0	0	1
CTD-2201E18.3	0	0	0	0
CTD-2035E11.3	1	0	0	0
CTD-2035E11.4	1	0	0	0
ANXA2R	0	0	0	0
AC025171.1	0	1	0	0
CTD-2035E11.5	0	1	0	0
ZNF131	0	0	0	0
HMGCS1	1	1	0	0
C5orf28	0	0	0	0
C5orf34	0	0	0	0
EEF1A1P19	1	0	0	0
RP11-159F24.6	0	0	1	0
RP11-159F24.5	0	0	0	1
PAIP1	0	0	0	0
NNT-AS1	1	0	0	0
NNT	0	0	0	0
RP11-53O19.1	1	0	1	1
MRPS30	0	0	0	0
RP11-53O19.3	0	0	0	0
HCN1	0	1	1	1
PELO	0	1	0	0
ITGA2	0	1	1	1
MOCS2	0	0	0	0
CTD-2366F13.1	1	0	0	0
NDUFS4	0	0	0	0
ARL15	0	0	1	0
SNX18	0	0	0	1
GPX8	1	0	0	0
MCIDAS	0	0	0	0
CCNO	0	0	0	0
DHX29	0	0	0	0
SKIV2L2	0	0	0	0
PPAP2A	0	0	0	0
RNF138P1	0	0	0	0
SLC38A9	1	0	0	0
IL6ST	1	1	1	1
CTD-2031P19.4	0	1	1	1
MAP3K1	0	0	0	0
SETD9	0	0	0	0
MIER3	0	0	0	0
GPBP1	0	0	0	0
CTD-2023N9.1	1	0	0	0
ACTBL2	1	0	1	0
RP11-772C9.1	1	0	0	0
CTD-2037L6.2	0	0	0	0
PLK2	0	0	0	0
PDE4D	1	0	0	0
DEPDC1B	0	1	0	0
ELOVL7	0	0	1	1
ERCC8	0	0	0	0
NDUFAF2	0	0	0	0
SMIM15	1	0	0	0
ZSWIM6	0	0	0	0
RP11-631M6.2	0	1	1	1
KIF2A	0	0	0	0
DIMT1	0	0	0	0
IPO11	0	0	0	0
LRRC70	1	0	0	0
SREK1IP1	0	0	0	0
CWC27	0	0	0	0
CTD-2116N20.1	1	0	1	0
CENPK	0	0	0	0
PPWD1	0	0	0	0
TRIM23	0	0	0	0
TRAPPC13	0	0	0	0
CTC-534A2.2	0	0	0	0
SGTB	0	0	0	0
NLN	0	0	0	0
ERBB2IP	0	0	0	0
SREK1	0	0	0	0
MAST4	1	1	1	1
PIK3R1	0	0	0	0
SLC30A5	0	0	0	0
CTC-498J12.3	1	0	0	0
CCNB1	0	0	0	0
CENPH	0	0	0	0
MRPS36	0	0	0	0
CDK7	0	0	0	0
CCDC125	0	0	0	0
TAF9	0	0	0	0
RAD17	0	0	0	0
MARVELD2	0	0	0	0
OCLN	1	0	1	0
GTF2H2C	0	0	1	0
SMN1	0	0	0	0
GTF2H2	0	0	0	0
GUSBP9	0	0	0	0
MCCC2	0	0	0	0
MAP1B	0	1	0	1
MRPS27	0	0	0	0
PTCD2	0	0	0	0
CTC-347C20.1	0	0	0	0
CTD-2631K10.1	0	0	0	0
TNPO1	0	1	0	1
FCHO2	0	0	0	0
TMEM171	0	0	0	0
FOXD1	1	1	0	0
RP11-79P5.9	0	0	0	0
BTF3	0	0	0	0
ANKRA2	1	0	0	0
UTP15	0	0	0	0
ARHGEF28	1	0	0	0
ENC1	0	0	0	0
HEXB	0	0	0	0
GFM2	0	0	0	0
NSA2	0	0	0	0
FAM169A	0	0	0	0
GCNT4	0	0	0	0
ANKRD31	0	1	0	0
CTD-2235C13.2	1	0	0	1
HMGCR	0	0	0	0
CTD-2235C13.3	1	0	0	0
COL4A3BP	0	0	0	0
POLK	0	0	0	0
POC5	0	0	0	0
PDCD5P2	0	1	1	0
IQGAP2	0	1	1	1
F2RL2	1	1	1	1
CTD-2384B11.2	0	1	1	1
F2R	0	1	1	1
F2RL1	0	0	0	0
S100Z	1	1	1	1
CRHBP	1	0	0	0
AGGF1	0	0	0	0
ZBED3	0	0	0	0
ZBED3-AS1	0	0	0	0
PDE8B	1	0	0	0
WDR41	0	0	0	0
TBCA	0	0	0	0
ACTBP2	0	1	1	0
AP3B1	0	0	0	0
SCAMP1-AS1	0	0	0	0
SCAMP1	0	0	0	1
LHFPL2	0	0	0	0
ARSB	1	1	0	1
DMGDH	1	0	0	0
JMY	1	0	0	0
HOMER1	0	0	0	1
PAPD4	0	0	0	0
CMYA5	0	0	0	0
MTX3	1	0	0	0
THBS4	1	1	1	1
RP11-168A11.4	0	1	0	0
CTD-2015H6.3	0	0	0	0
FAM151B	0	0	0	0
ANKRD34B	1	0	1	1
LINC01337	1	0	0	0
DHFR	1	0	0	0
CTC-325J23.2	0	0	0	0
MTRNR2L2	1	0	0	0
MSH3	0	0	0	0
CKMT2-AS1	0	0	0	0
CTD-2248H3.1	0	1	0	0
ZCCHC9	0	0	0	0
SSBP2	0	0	0	0
ATG10	0	0	0	0
ATP6AP1L	0	1	0	0
RP11-343L5.2	0	0	0	0
TMEM167A	0	0	0	1
XRCC4	0	1	0	0
HAPLN1	0	1	1	1
EDIL3	0	1	1	1
COX7C	0	0	0	1
CTD-2161E19.1	0	1	1	0
RASA1	0	0	0	0
CTC-428H11.2	0	0	0	0
CCNH	0	0	0	0
TMEM161B	0	0	0	0
TMEM161B-AS1	0	0	0	0
LINC00461	1	0	1	0
CETN3	0	0	0	0
MBLAC2	0	0	0	0
POLR3G	0	1	0	0
LYSMD3	0	0	0	0
LUCAT1	1	1	0	1
ARRDC3	0	1	0	0
RP11-348J24.2	1	0	0	0
RP11-133F8.2	1	0	0	0
CTC-529L17.2	1	0	0	0
CTC-458G6.4	1	1	0	0
CTD-2091N23.1	1	1	0	0
NR2F1-AS1	0	0	0	0
NR2F1	1	0	0	0
FAM172A	0	0	0	0
NPM1P27	0	0	0	0
RP11-549J18.1	1	0	0	0
KIAA0825	0	0	0	0
CTC-303L1.2	0	0	0	0
ANKRD32	0	0	0	0
MCTP1	0	1	1	1
TTC37	0	0	0	0
ARSK	0	0	0	0
RFESD	0	0	0	0
RHOBTB3	1	1	1	1
GLRX	1	0	0	0
ELL2	0	1	0	0
CAST	0	0	0	0
ERAP1	0	0	1	0
CTD-2260A17.1	1	0	0	0
ERAP2	0	0	0	0
RIOK2	0	0	0	0
CH17-12M21.1	0	1	1	0
RGMB	0	1	1	1
RGMB-AS1	0	0	0	0
CHD1	0	0	0	0
CTD-2007H13.3	1	1	0	0
RP11-475J5.6	1	0	1	1
RP11-475J5.4	0	1	0	1
CTD-2001C12.1	0	0	0	0
FAM174A	0	0	0	1
PAM	0	0	0	0
GIN1	0	0	0	0
PPIP5K2	0	0	0	0
C5orf30	0	0	0	0
NUDT12	1	0	0	0
EFNA5	0	0	0	0
FBXL17	0	0	1	1
LINC01023	1	0	0	0
FER	0	0	0	0
CTD-2587M2.1	1	0	0	0
PJA2	1	0	0	0
MAN2A1	0	0	0	1
SLC25A46	0	0	0	0
WDR36	0	0	0	0
CAMK4	0	1	1	1
EPB41L4A	0	0	1	1
EPB41L4A-AS1	0	0	0	0
SNORA13	0	0	0	0
APC	0	0	0	0
SRP19	0	0	0	0
REEP5	1	0	0	0
XBP1P1	0	0	0	0
CTC-487M23.5	1	0	0	0
DCP2	1	1	0	0
MCC	0	0	0	0
YTHDC2	0	0	0	0
TRIM36	0	1	1	0
PGGT1B	0	0	0	0
CCDC112	0	0	0	0
CTNNAP1	0	1	1	0
CCT5P1	0	1	1	1
FEM1C	0	0	0	0
TMED7	1	1	1	1
ATG12	0	0	0	0
AP3S1	0	0	0	0
CTD-2287O16.5	0	0	0	0
COMMD10	0	0	0	0
SEMA6A	1	0	1	0
SEMA6A-AS1	1	0	1	0
DTWD2	0	0	1	0
DMXL1	0	0	0	0
TNFAIP8	1	0	0	0
HSD17B4	0	0	0	0
SRFBP1	0	0	0	0
LOX	1	0	1	0
SNX24	0	0	0	0
PPIC	1	0	0	0
PRDM6	0	0	1	0
CEP120	0	0	0	0
KRT8P33	0	0	0	0
CSNK1G3	0	0	0	0
KRT18P16	1	1	1	1
GRAMD3	0	1	1	1
ALDH7A1	0	0	1	1
PHAX	0	0	0	0
LMNB1	0	0	0	0
MARCH3	0	0	1	1
C5orf63	0	1	0	0
PRRC1	0	0	0	0
LINC01184	0	0	0	0
SLC12A2	1	0	0	0
ISOC1	0	0	0	1
HINT1	0	0	0	0
LYRM7	0	0	0	0
CDC42SE2	0	0	0	0
RAPGEF6	0	1	1	1
FNIP1	1	0	0	0
ACSL6	0	0	0	0
P4HA2	0	0	0	0
PDLIM4	0	0	0	0
SLC22A4	1	0	1	0
AC034220.3	1	1	0	0
MIR3936	0	1	0	0
SLC22A5	0	0	0	0
C5orf56	0	0	1	0
IRF1	0	0	1	0
RAD50	0	0	0	0
IL13	1	1	1	0
KIF3A	0	0	0	0
SEPT8	0	0	0	0
SHROOM1	0	0	0	0
GDF9	0	0	0	0
UQCRQ	0	0	0	0
LEAP2	0	0	0	0
AFF4	0	0	0	0
AC010240.2	0	1	1	0
ZCCHC10	0	1	0	0
HSPA4	0	0	0	0
C5orf15	1	0	0	0
VDAC1	0	0	0	0
TCF7	0	0	0	0
SKP1	0	0	0	0
PPP2CA	0	1	0	0
CDKL3	0	0	0	0
UBE2B	0	0	0	0
CDKN2AIPNL	0	0	0	0
AC005355.2	1	0	0	0
RN7SL541P	1	1	0	1
JADE2	0	0	0	1
SAR1B	1	0	0	0
SEC24A	0	0	0	0
CAMLG	0	0	0	0
DDX46	0	0	0	0
C5orf24	0	0	0	0
TXNDC15	1	0	0	0
PCBD2	0	0	0	0
CTB-36O1.7	0	1	0	1
MTND6P4	0	1	1	0
MTND5P11	0	1	1	1
MTND4P12	0	0	0	0
CTB-36O1.4	1	0	0	0
CATSPER3	0	0	0	0
PITX1	0	1	0	0
C5orf66	0	1	0	0
H2AFY	0	0	0	0
CTC-203F4.2	0	0	0	0
TGFBI	1	1	1	1
VTRNA2-1	0	1	0	0
SMAD5	0	0	0	0
KLHL3	0	1	0	1
HNRNPA0	0	0	0	0
RP11-381K20.2	0	0	0	0
PKD2L2	0	0	0	0
FAM13B	0	0	0	0
RP11-325L7.1	0	0	0	0
NME5	0	0	0	0
BRD8	0	0	0	0
KIF20A	0	0	0	0
CDC23	0	0	0	0
GFRA3	0	0	0	1
CDC25C	0	0	0	0
FAM53C	0	0	0	0
KDM3B	0	0	0	0
REEP2	0	0	0	0
EGR1	0	0	0	0
ETF1	0	0	0	0
HSPA9	0	0	0	0
SNORD63	0	0	0	0
CTNNA1	0	0	0	0
AC034243.1	1	0	0	0
SIL1	0	0	0	0
MATR3	0	0	0	0
SNORA74A	0	0	1	0
PAIP2	0	0	0	0
PROB1	1	0	0	0
SPATA24	0	0	0	0
DNAJC18	0	0	0	0
TMEM173	0	1	0	1
UBE2D2	0	0	0	0
CXXC5	0	0	0	0
PSD2	1	1	0	0
NRG2	0	1	1	1
LINC01024	0	0	0	0
PURA	0	0	0	0
IGIP	1	0	0	0
CTB-131B5.5	0	1	0	1
CYSTM1	0	0	0	0
PFDN1	0	0	0	0
HBEGF	0	1	1	1
SLC4A9	1	0	0	0
ANKHD1	0	0	0	0
ANKHD1-EIF4EBP3	1	1	0	0
SRA1	0	0	0	0
APBB3	1	0	0	0
SLC35A4	0	0	0	0
CD14	0	0	0	0
NDUFA2	0	0	0	0
TMCO6	0	0	0	0
IK	0	0	0	0
WDR55	0	0	0	0
DND1	0	0	0	0
HARS	0	0	0	0
HARS2	0	0	0	0
ZMAT2	0	0	0	0
VTRNA1-3	0	1	0	0
TAF7	0	0	0	0
AC005618.6	0	1	0	0
PCDHGA1	0	1	0	0
PCDHGB1	0	0	0	0
PCDHGA4	0	0	1	0
PCDHGB2	0	0	0	0
PCDHGA5	0	1	0	1
PCDHGB3	0	0	0	0
PCDHGA6	0	0	1	1
PCDHGA10	0	0	0	0
PCDHGB7	0	0	0	0
PCDHGC3	0	0	0	0
PCDHGC5	0	0	0	0
DIAPH1	1	0	0	0
HDAC3	0	0	0	0
RELL2	0	0	0	0
FCHSD1	1	0	0	0
ARAP3	0	0	0	0
PCDH1	0	0	1	1
KIAA0141	0	0	0	0
PCDH12	1	1	1	1
AC005740.6	0	1	0	1
RNF14	0	0	0	0
GNPDA1	0	0	0	0
NDFIP1	0	0	0	1
SPRY4	0	0	0	0
AC005592.2	0	0	0	0
FGF1	1	0	0	0
AC005592.3	1	1	1	0
AC005592.1	1	0	0	0
ARHGAP26	0	0	1	1
NR3C1	0	0	0	0
YIPF5	1	0	0	0
PRELID2	0	0	0	0
SH3RF2	0	0	0	0
PLAC8L1	1	0	0	0
LARS	0	0	0	0
RBM27	0	0	0	0
TCERG1	0	0	0	0
FBXO38	0	0	0	0
ADRB2	0	1	1	1
SH3TC2	0	0	0	0
CTC-529P8.1	1	0	0	0
ABLIM3	0	0	0	0
AFAP1L1	0	0	0	0
GRPEL2	0	0	0	0
PCYOX1L	0	0	0	0
CSNK1A1	0	0	0	0
CTB-89H12.4	1	0	0	0
RPL29P14	0	1	0	0
ARHGEF37	1	0	0	0
PPARGC1B	0	0	0	0
SLC26A2	0	0	0	0
TIGD6	0	0	0	0
HMGXB3	0	0	0	0
CSF1R	0	0	0	0
PDGFRB	0	0	0	0
TCOF1	0	0	0	0
CD74	0	1	1	0
RPS14	0	0	0	0
CTC-367J11.1	0	1	0	1
NDST1	1	0	0	0
SYNPO	1	1	0	0
RBM22	0	0	0	0
DCTN4	0	0	0	0
ZNF300	0	0	0	0
TNIP1	0	0	0	0
ANXA6	0	0	0	0
CCDC69	0	1	0	0
GM2A	1	0	0	0
SLC36A1	1	0	0	0
FAT2	0	1	1	1
SPARC	0	0	0	1
ATOX1	0	0	0	0
G3BP1	0	0	0	0
FAM114A2	0	0	0	0
MFAP3	1	0	0	0
GALNT10	1	0	0	0
SAP30L-AS1	0	0	0	0
SAP30L	0	0	0	0
LARP1	0	0	0	0
FAXDC2	1	1	0	1
CNOT8	0	0	0	0
GEMIN5	0	0	0	0
MRPL22	0	0	0	0
KIF4B	0	0	0	0
HAVCR2	1	0	0	0
MED7	0	0	0	0
CYFIP2	0	0	1	0
ADAM19	0	0	1	1
NIPAL4	0	1	1	1
THG1L	0	0	0	0
LSM11	1	0	0	0
CLINT1	0	0	0	0
RNF145	0	0	0	1
UBLCP1	0	0	0	0
GAPDHP40	0	1	1	1
TTC1	0	0	0	0
PWWP2A	0	0	0	0
CCNJL	0	1	1	1
ZBED8	0	0	0	0
SLU7	0	0	0	0
PTTG1	0	0	0	0
CCNG1	1	0	0	0
NUDCD2	1	0	0	0
HMMR	1	0	0	0
MAT2B	0	0	0	0
TENM2	1	1	0	0
WWC1	0	0	0	0
RARS	0	0	0	0
FBLL1	0	0	1	0
PANK3	1	1	0	1
CTC-575D19.1	0	1	1	0
SPDL1	1	0	0	0
RANBP17	0	0	0	0
NPM1	0	0	0	0
FGF18	0	0	0	0
FBXW11	0	0	0	0
STK10	0	0	0	0
UBTD2	0	0	0	0
SH3PXD2B	0	0	0	0
NEURL1B	1	0	0	0
DUSP1	1	0	0	0
ERGIC1	0	0	0	0
CTC-308K20.1	0	0	0	1
RPL26L1	0	0	0	0
CTC-308K20.3	0	0	0	0
ATP6V0E1	1	0	0	0
CREBRF	1	0	0	0
BNIP1	0	0	0	0
NKX2-5	0	0	0	0
BOD1	0	0	0	0
CPEB4	0	1	0	0
LINC01411	0	1	1	1
MSX2	0	1	1	1
SFXN1	0	0	0	0
THOC3	0	0	0	0
RP11-844P9.2	1	0	0	1
SIMC1	0	0	0	0
BRCC3P1	0	0	0	0
KIAA1191	0	0	0	0
ARL10	1	1	0	0
NOP16	0	0	0	0
HIGD2A	0	0	0	0
CLTB	0	1	0	0
FAF2	1	0	0	0
RNF44	1	0	0	0
CDHR2	0	1	0	0
GPRIN1	1	0	0	0
SNCB	0	0	1	0
TSPAN17	0	0	0	0
UNC5A	0	0	0	0
UIMC1	0	0	0	0
ZNF346	0	0	0	0
ZNF346-IT1	0	1	0	0
FGFR4	0	0	0	0
NSD1	0	0	0	0
RAB24	1	0	0	0
MXD3	1	0	0	0
PRELID1	1	0	0	0
LMAN2	1	0	0	0
RGS14	1	0	0	0
F12	0	0	0	0
GRK6	0	0	0	0
PRR7-AS1	1	0	0	0
PRR7	0	0	0	0
DBN1	1	0	0	0
PDLIM7	0	0	0	0
DOK3	1	0	0	0
DDX41	0	0	0	0
FAM193B	1	0	0	0
TMED9	1	0	0	0
B4GALT7	1	0	0	0
RP11-1277A3.1	0	0	0	0
RP11-1277A3.2	0	0	0	1
RP11-423H2.1	0	0	0	0
RP11-423H2.3	1	0	0	0
SUDS3P1	1	1	0	1
N4BP3	1	1	0	1
RMND5B	0	0	0	0
NHP2	0	0	0	0
HNRNPAB	1	0	0	0
PHYKPL	0	1	0	0
CLK4	0	0	0	0
ZNF354A	0	0	0	0
ZNF354B	0	0	0	0
ZFP2	0	1	0	0
ZNF454	0	1	0	0
ZNF879	0	0	0	0
ZNF354C	1	0	0	0
RUFY1	0	0	0	0
RP11-1379J22.2	1	0	0	0
HNRNPH1	0	0	0	0
CANX	1	0	0	0
HMGB3P22	1	1	0	0
MAML1	0	0	0	0
MGAT4B	0	0	0	0
SQSTM1	0	0	0	0
C5orf45	0	0	0	0
Y_RNA	0	1	1	0
CTC-241N9.1	1	0	0	0
TBC1D9B	0	0	0	0
RNF130	0	0	0	0
RASGEF1C	0	0	0	0
MAPK9	0	0	0	0
CTB-129O4.1	0	1	1	0
GFPT2	1	0	0	0
CNOT6	0	0	0	0
CTC-205M6.5	1	0	0	0
MGAT1	1	0	0	0
LINC00847	0	0	0	0
ZFP62	0	0	0	0
BTNL9	0	1	0	0
CTC-338M12.5	1	0	0	0
TRIM7	1	0	0	0
CTC-338M12.6	0	0	0	0
CTC-338M12.1	1	0	1	0
TRIM41	1	0	0	0
GNB2L1	0	0	0	0
CTC-338M12.4	0	0	0	0
TRIM52	0	0	0	0
TRIM52-AS1	0	0	0	0
DUSP22	1	0	0	0
EXOC2	0	0	0	0
RP11-532F6.4	1	1	0	0
FOXQ1	0	0	1	1
FOXC1	0	0	0	0
GMDS	0	0	0	0
GMDS-AS1	1	0	0	0
MYLK4	0	1	1	0
WRNIP1	0	0	0	0
SERPINB1	0	0	0	1
SERPINB9P1	1	1	0	0
SERPINB9	0	0	0	1
SERPINB6	0	0	0	1
LINC01011	0	0	0	0
NQO2	0	0	0	1
HTATSF1P2	0	1	0	0
RIPK1	1	0	0	0
BPHL	0	0	0	0
TUBB2A	0	1	0	1
TUBB2B	0	0	0	0
PSMG4	0	0	0	0
SLC22A23	0	0	1	1
PXDC1	0	0	0	0
RP11-420L9.5	0	0	0	0
GLRX3P2	0	0	1	1
PRPF4B	0	0	0	0
ECI2	0	0	0	0
RP3-400B16.1	0	1	0	0
CDYL	0	0	0	0
RPP40	1	0	0	0
RP11-428J1.5	0	0	0	0
RP11-428J1.4	1	0	0	0
LYRM4	0	0	0	0
FARS2	0	0	0	0
NRN1	1	0	0	0
RP1-80N2.3	0	0	0	0
RP1-80N2.2	0	0	0	1
RREB1	0	0	0	0
SSR1	1	0	0	0
RIOK1	0	0	0	0
DSP	0	0	0	0
SNRNP48	0	0	0	0
BMP6	0	1	1	0
TXNDC5	0	0	0	0
EEF1E1	0	0	0	0
SLC35B3	0	0	0	0
RP11-354I10.1	1	0	0	0
TFAP2A	0	0	0	0
TFAP2A-AS1	0	0	0	0
LINC00518	0	0	0	0
GCNT2	0	1	0	0
RP11-360O19.4	0	0	0	0
C6orf52	1	0	0	0
PAK1IP1	0	0	0	0
TMEM14C	1	0	0	0
RP11-421M1.8	1	0	0	0
TMEM14B	0	0	0	0
SYCP2L	1	1	0	1
ELOVL2	0	1	1	1
SMIM13	0	1	0	1
TMEM170B	1	0	1	1
ADTRP	0	0	0	0
RP11-456H18.2	1	0	0	0
HIVEP1	0	0	0	0
EDN1	0	1	1	1
RPL15P3	1	1	1	1
RP1-257A7.4	0	0	0	0
TBC1D7	0	0	0	0
RP1-257A7.5	1	1	0	1
GFOD1	0	0	0	0
SIRT5	0	1	0	0
RP1-223E5.4	1	0	0	0
NOL7	0	0	0	0
RANBP9	0	0	0	0
MCUR1	0	0	0	0
RP3-500L14.2	0	1	0	1
RNF182	1	1	0	0
CD83	0	1	0	0
RP11-560J1.2	0	0	0	0
JARID2	1	0	0	0
MYLIP	0	0	1	1
ATXN1	0	1	1	1
RBM24	0	0	1	1
FAM8A1	0	0	0	0
NUP153	0	0	0	0
RP11-500C11.3	0	0	0	0
KIF13A	0	0	0	0
TPMT	0	0	0	0
KDM1B	0	0	0	0
DEK	0	0	0	0
RNF144B	0	1	1	0
RP4-625H18.2	1	0	0	0
MBOAT1	0	0	0	0
E2F3	0	0	0	0
CDKAL1	0	0	0	0
SOX4	0	0	0	0
DCDC2	1	1	1	0
MRS2	0	0	0	0
GPLD1	0	0	0	0
ALDH5A1	0	0	0	0
KIAA0319	1	1	1	0
TDP2	0	0	0	0
ACOT13	0	0	0	0
RP1-30M3.5	0	0	1	0
C6orf62	0	0	0	0
GMNN	0	0	0	0
CMAHP	1	0	1	1
LRRC16A	0	0	1	1
TRIM38	1	0	0	0
U91328.19	0	0	0	0
HIST1H1C	0	1	1	1
HFE	0	0	0	0
HIST1H2BC	0	0	0	0
HIST1H2AC	0	0	1	1
HIST1H1E	0	1	0	0
HIST1H2BD	0	0	1	0
HIST1H3D	0	0	0	0
RP1-34B20.4	0	1	1	0
HIST1H4H	1	0	1	1
BTN3A2	1	0	0	0
BTN2A2	1	0	0	0
BTN3A1	1	0	0	0
BTN2A3P	0	0	0	0
BTN3A3	1	0	0	0
BTN2A1	0	0	0	0
HCG11	0	0	0	0
CTA-14H9.5	0	0	1	0
HMGN4	1	0	0	0
ABT1	0	0	0	0
LINC00240	0	0	0	0
RP11-239L20.6	0	0	0	0
HIST1H2BJ	0	1	0	0
HIST1H2AG	0	0	0	0
HIST1H2BK	0	0	1	0
PRSS16	1	0	0	0
ZNF204P	1	0	0	0
ZNF391	0	0	0	0
RP1-153G14.4	1	0	0	0
MCFD2P1	1	0	0	0
ZNF184	1	0	0	0
HIST1H2AI	1	0	0	0
HIST1H2BN	0	0	0	0
HIST1H1B	0	1	0	0
HIST1H3J	0	0	1	0
OR2B6	1	0	0	1
ZNF165	1	0	0	0
ZSCAN12P1	0	0	0	1
ZSCAN16	0	0	0	0
RP1-265C24.8	1	1	0	0
ZKSCAN8	1	0	0	0
ZNF192P1	1	0	0	0
ZSCAN9	1	0	0	0
ZKSCAN4	0	0	0	0
ZSCAN26	0	0	0	0
PGBD1	1	0	0	0
ZSCAN31	1	0	0	0
ZKSCAN3	1	0	0	0
ZSCAN12	0	0	0	0
TRIM27	0	0	0	0
GABBR1	0	0	1	1
HLA-G	0	1	1	1
HLA-H	0	1	1	1
ZNRD1-AS1	0	1	0	0
HLA-J	1	0	1	1
ZNRD1	0	0	0	0
PPP1R11	0	0	0	0
TRIM26	1	0	0	0
HCG18	1	0	1	0
HLA-E	0	0	0	0
GNL1	0	0	0	0
PRR3	0	0	0	0
ABCF1	0	0	0	0
PPP1R10	0	0	0	0
MRPS18B	0	0	0	0
ATAT1	0	0	0	0
C6orf136	0	0	0	0
DHX16	0	0	0	0
PPP1R18	0	0	0	0
NRM	1	1	0	0
MDC1	0	0	0	0
TUBB	0	0	0	0
FLOT1	0	0	0	0
IER3	1	1	1	1
DDR1	0	0	1	1
VARS2	0	0	0	0
TCF19	1	0	1	0
HLA-C	0	1	1	1
HLA-B	1	1	1	1
MICA	0	0	0	1
MICB	1	0	0	0
NFKBIL1	1	0	0	0
PRRC2A	0	0	0	0
BAG6	0	0	0	0
GPANK1	1	0	0	0
DDAH2	0	0	1	0
CLIC1	0	0	0	0
VARS	0	0	0	0
LSM2	0	0	0	0
C6orf48	0	0	0	0
NEU1	1	0	0	0
EHMT2	0	0	0	0
NELFE	0	0	0	0
SKIV2L	0	0	0	0
STK19	0	0	0	0
C4A	1	1	0	0
TNXB	1	0	0	1
ATF6B	0	0	0	0
PRRT1	1	0	1	1
AGPAT1	0	0	0	0
RNF5	0	0	0	0
AGER	1	0	0	0
PBX2	1	0	0	0
HLA-DQB1	0	1	1	0
PSMB9	0	0	1	0
TAP1	0	0	1	0
HLA-DMB	1	1	1	0
HLA-DMA	0	0	0	0
BRD2	0	0	0	0
COL11A2	0	0	0	1
RXRB	0	0	0	0
SLC39A7	0	0	0	0
RING1	0	0	0	0
HCG25	0	1	0	0
VPS52	0	0	0	0
RPS18	0	0	0	0
WDR46	0	0	0	0
PFDN6	0	0	1	0
RGL2	0	1	0	0
TAPBP	0	0	0	0
DAXX	0	1	0	0
KIFC1	0	0	0	0
PHF1	1	0	0	0
CUTA	0	0	0	0
SYNGAP1	1	0	0	0
BAK1	0	0	0	0
ITPR3	0	0	0	0
UQCC2	0	0	0	0
LEMD2	0	0	0	0
GRM4	0	0	1	0
HMGA1	0	0	0	0
C6orf1	0	0	0	0
RP11-513I15.6	1	1	0	0
NUDT3	0	0	0	0
RPS10	0	0	0	0
PACSIN1	1	1	1	0
C6orf106	0	0	0	0
RP11-140K17.3	1	0	0	0
SNRPC	0	0	0	0
UHRF1BP1	0	0	0	0
TAF11	0	0	0	0
ANKS1A	0	0	0	0
RP3-329A5.8	1	0	0	0
ZNF76	1	0	0	0
DEF6	1	0	0	0
PPARD	0	0	0	0
FANCE	0	0	0	0
RPL10A	0	0	0	0
TEAD3	0	0	0	0
FKBP5	0	0	0	0
ARMC12	1	1	0	1
CLPSL2	1	0	0	0
SRPK1	0	0	0	0
MAPK14	0	0	0	0
